,NAME,YEAR,TIME,GENRE,RATING,VOTES,GROSS_COLLECTION
0,The Dark Knight,(2008),152 min,"
Action, Crime, Drama            ","

9.0
","2,608,497",$534.86M
1,The Lord of the Rings: The Return of the King,(2003),201 min,"
Action, Adventure, Drama            ","

9.0
","1,811,830",$377.85M
2,Inception,(2010),148 min,"
Action, Adventure, Sci-Fi            ","

8.8
","2,312,473",$292.58M
3,The Lord of the Rings: The Two Towers,(2002),179 min,"
Action, Adventure, Drama            ","

8.8
","1,636,169",$342.55M
4,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,"
Action, Adventure, Drama            ","

8.8
","1,834,885",$315.54M
5,The Matrix,(1999),136 min,"
Action, Sci-Fi            ","

8.7
","1,887,190",$171.48M
6,The Empire Strikes Back,(1980),124 min,"
Action, Adventure, Fantasy            ","

8.7
","1,275,010",$290.48M
7,Terminator 2: Judgment Day,(1991),137 min,"
Action, Sci-Fi            ","

8.6
","1,085,019",$204.84M
8,Star Wars,(1977),121 min,"
Action, Adventure, Fantasy            ","

8.6
","1,347,709",$322.74M
9,Seppuku,(1962),133 min,"
Action, Drama, Mystery            ","

8.6
","56,041",$na
10,Shichinin no samurai,(1954),207 min,"
Action, Drama            ","

8.6
","343,351",$0.27M
11,Kaithi,(2019),145 min,"
Action, Crime, Thriller            ","

8.5
","29,508",$na
12,Asuran,(2019),141 min,"
Action, Drama            ","

8.5
","28,368",$na
13,Top Gun: Maverick,(2022),130 min,"
Action, Drama            ","

8.5
","344,682",$na
14,Gladiator,(2000),155 min,"
Action, Adventure, Drama            ","

8.5
","1,478,375",$187.71M
15,Léon,(1994),110 min,"
Action, Crime, Drama            ","

8.5
","1,145,115",$19.50M
16,Vikram,(2022),175 min,"
Action, Thriller            ","

8.4
","48,369",$na
17,Spider-Man: Into the Spider-Verse,(2018),117 min,"
Animation, Action, Adventure            ","

8.4
","512,542",$190.24M
18,Avengers: Endgame,(2019),181 min,"
Action, Adventure, Drama            ","

8.4
","1,097,522",$858.37M
19,Avengers: Infinity War,(2018),149 min,"
Action, Adventure, Sci-Fi            ","

8.4
","1,052,542",$678.82M
20,The Dark Knight Rises,(2012),164 min,"
Action, Drama            ","

8.4
","1,681,173",$448.14M
21,K.G.F: Chapter 2,(2022),168 min,"
Action, Crime, Drama            ","

8.4
","121,923",$na
22,Shershaah,(2021),135 min,"
Action, Biography, Drama            ","

8.4
","119,729",$na
23,Oldeuboi,(2003),101 min,"
Action, Drama, Mystery            ","

8.4
","571,553",$0.71M
24,Aliens,(1986),137 min,"
Action, Adventure, Sci-Fi            ","

8.4
","710,105",$85.16M
25,Raiders of the Lost Ark,(1981),115 min,"
Action, Adventure            ","

8.4
","956,123",$248.16M
26,Dangal,(2016),161 min,"
Action, Biography, Drama            ","

8.3
","188,613",$12.39M
27,Karthikeya 2,(2022),150 min,"
Action, Adventure, Fantasy            ","

8.3
","52,755",$na
28,Spider-Man: No Way Home,(2021),148 min,"
Action, Adventure, Fantasy            ","

8.3
","718,377",$804.75M
29,Heat,(1995),170 min,"
Action, Crime, Drama            ","

8.3
","647,351",$67.44M
30,Star Wars: Episode VI - Return of the Jedi,(1983),131 min,"
Action, Adventure, Fantasy            ","

8.3
","1,041,083",$309.13M
31,North by Northwest,(1959),136 min,"
Action, Adventure, Mystery            ","

8.3
","325,773",$13.28M
32,1917,(2019),119 min,"
Action, Drama, War            ","

8.2
","571,347",$159.23M
33,Uri: The Surgical Strike,(2019),138 min,"
Action, Drama, History            ","

8.2
","62,218",$4.19M
34,K.G.F: Chapter 1,(2018),156 min,"
Action, Crime, Drama            ","

8.2
","82,201",$na
35,Everything Everywhere All at Once,(2022),139 min,"
Action, Adventure, Comedy            ","

8.2
","194,861",$na
36,Vikram Vedha,(2017),147 min,"
Action, Crime, Drama            ","

8.2
","40,790",$na
37,Dag II,(2016),135 min,"
Action, Drama, War            ","

8.2
","108,315",$na
38,Baahubali 2: The Conclusion,(2017),167 min,"
Action, Drama            ","

8.2
","98,194",$20.19M
39,Gangs of Wasseypur,(2012),321 min,"
Action, Comedy, Crime            ","

8.2
","95,406",$na
40,Paan Singh Tomar,(2012),135 min,"
Action, Biography, Crime            ","

8.2
","36,332",$0.04M
41,Warrior,(2011),140 min,"
Action, Drama, Sport            ","

8.2
","469,319",$13.66M
42,Kimetsu no Yaiba: Mugen Ressha-Hen,(2020),117 min,"
Animation, Action, Adventure            ","

8.2
","55,645",$47.70M
43,V for Vendetta,(2005),132 min,"
Action, Drama, Sci-Fi            ","

8.2
","1,111,341",$70.51M
44,Batman Begins,(2005),140 min,"
Action, Crime, Drama            ","

8.2
","1,450,759",$206.85M
45,Kill Bill: Vol. 1,(2003),111 min,"
Action, Crime, Drama            ","

8.2
","1,101,268",$70.10M
46,"Lock, Stock and Two Smoking Barrels",(1998),107 min,"
Action, Comedy, Crime            ","

8.2
","577,821",$3.90M
47,Jurassic Park,(1993),127 min,"
Action, Adventure, Sci-Fi            ","

8.2
","976,368",$402.45M
48,Indiana Jones and the Last Crusade,(1989),127 min,"
Action, Adventure            ","

8.2
","747,753",$197.17M
49,Die Hard,(1988),132 min,"
Action, Thriller            ","

8.2
","867,653",$83.01M
50,Ran,(1985),162 min,"
Action, Drama, War            ","

8.2
","125,050",$4.14M
51,Yôjinbô,(1961),110 min,"
Action, Drama, Thriller            ","

8.2
","122,535",$na
52,The General,(1926),67 min,"
Action, Adventure, Comedy            ","

8.2
","91,163",$1.03M
53,Sherlock Jr.,(1924),45 min,"
Action, Comedy, Romance            ","

8.2
","49,766",$0.98M
54,Bajrangi Bhaijaan,(2015),163 min,"
Action, Adventure, Comedy            ","

8.1
","87,360",$8.18M
55,Logan,(2017),137 min,"
Action, Drama, Sci-Fi            ","

8.1
","748,608",$226.28M
56,Rush,(I) (2013),123 min,"
Action, Biography, Drama            ","

8.1
","475,901",$26.95M
57,Ford v Ferrari,(2019),152 min,"
Action, Biography, Drama            ","

8.1
","382,389",$117.62M
58,Mad Max: Fury Road,(2015),120 min,"
Action, Adventure, Sci-Fi            ","

8.1
","987,670",$154.06M
59,A Wednesday,(2008),104 min,"
Action, Crime, Drama            ","

8.1
","78,492",$na
60,How to Train Your Dragon,(2010),98 min,"
Animation, Action, Adventure            ","

8.1
","732,155",$217.58M
61,Pirates of the Caribbean: The Curse of the Black Pearl,(2003),143 min,"
Action, Adventure, Fantasy            ","

8.1
","1,114,207",$305.41M
62,Hera Pheri,(2000),156 min,"
Action, Comedy, Crime            ","

8.1
","66,469",$na
63,Sarfarosh,(1999),174 min,"
Action, Drama, Thriller            ","

8.1
","25,767",$na
64,The Iron Giant,(1999),86 min,"
Animation, Action, Adventure            ","

8.1
","193,271",$23.16M
65,The Terminator,(1984),107 min,"
Action, Sci-Fi            ","

8.1
","855,716",$38.40M
66,Blade Runner,(1982),117 min,"
Action, Drama, Sci-Fi            ","

8.1
","760,993",$32.87M
67,Sholay,(1975),204 min,"
Action, Adventure, Comedy            ","

8.1
","55,683",$na
68,Kakushi-toride no san-akunin,(1958),139 min,"
Action, Adventure, Drama            ","

8.1
","39,137",$na
69,White Heat,(1949),114 min,"
Action, Crime, Drama            ","

8.1
","32,967",$na
70,RRR (Rise Roar Revolt),(2022),187 min,"
Action, Drama            ","

8.0
","103,238",$na
71,Arjun Reddy,(2017),182 min,"
Action, Drama, Romance            ","

8.0
","25,392",$na
72,Kaththi,(2014),166 min,"
Action, Drama            ","

8.0
","26,896",$na
73,Haider,(2014),160 min,"
Action, Crime, Drama            ","

8.0
","55,058",$0.90M
74,Bãhubali: The Beginning,(2015),159 min,"
Action, Drama            ","

8.0
","122,631",$6.74M
75,1 - Nenokkadine,(2014),170 min,"
Action, Thriller            ","

8.0
","45,392",$na
76,Thuppakki,(2012),165 min,"
Action, Thriller            ","

8.0
","34,305",$na
77,Guardians of the Galaxy,(2014),121 min,"
Action, Adventure, Comedy            ","

8.0
","1,161,771",$333.18M
78,Blade Runner 2049,(2017),164 min,"
Action, Drama, Mystery            ","

8.0
","558,038",$92.05M
79,The Revenant,(2015),156 min,"
Action, Adventure, Drama            ","

8.0
","792,620",$183.64M
80,Tropa de Elite 2: O Inimigo Agora é Outro,(2010),115 min,"
Action, Crime, Drama            ","

8.0
","83,132",$0.10M
81,Deadpool,(2016),108 min,"
Action, Adventure, Comedy            ","

8.0
","1,019,351",$363.07M
82,Zack Snyder's Justice League,(2021),242 min,"
Action, Adventure, Fantasy            ","

8.0
","388,780",$na
83,Ip Man,(2008),106 min,"
Action, Biography, Drama            ","

8.0
","223,389",$na
84,Dune: Part One,(2021),155 min,"
Action, Adventure, Drama            ","

8.0
","606,753",$108.33M
85,Tropa de Elite,(2007),115 min,"
Action, Crime, Drama            ","

8.0
","104,010",$0.01M
86,The Avengers,(2012),143 min,"
Action, Adventure, Sci-Fi            ","

8.0
","1,375,405",$623.28M
87,The Bourne Ultimatum,(2007),115 min,"
Action, Mystery, Thriller            ","

8.0
","632,425",$227.47M
88,Taegukgi hwinalrimyeo,(2004),140 min,"
Action, Drama, War            ","

8.0
","39,766",$1.11M
89,Casino Royale,(2006),144 min,"
Action, Adventure, Thriller            ","

8.0
","652,602",$167.45M
90,Kill Bill: Vol. 2,(2004),137 min,"
Action, Crime, Thriller            ","

8.0
","748,187",$66.21M
91,Mou gaan dou,(2002),101 min,"
Action, Crime, Drama            ","

8.0
","124,568",$0.17M
92,The Incredibles,(2004),115 min,"
Animation, Action, Adventure            ","

8.0
","727,022",$261.44M
93,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",(1997),87 min,"
Animation, Action, Drama            ","

8.0
","54,086",$na
94,Andaz Apna Apna,(1994),160 min,"
Action, Comedy, Romance            ","

8.0
","53,322",$na
95,Akira,(1988),124 min,"
Animation, Action, Drama            ","

8.0
","184,860",$0.55M
96,Sanjuro,(1962),96 min,"
Action, Drama, Thriller            ","

8.0
","38,262",$na
97,Minnal Murali,(2021),158 min,"
Action, Adventure, Comedy            ","

7.9
","29,074",$na
98,Airlift,(2016),130 min,"
Action, Drama, History            ","

7.9
","56,980",$na
99,Baby,(I) (2015),159 min,"
Action, Crime, Thriller            ","

7.9
","57,691",$na
100,Thor: Ragnarok,(2017),130 min,"
Action, Adventure, Comedy            ","

7.9
","734,826",$315.06M
101,Serbuan maut 2: Berandal,(2014),150 min,"
Action, Crime, Thriller            ","

7.9
","123,202",$2.63M
102,Vishwaroopam,(2013),148 min,"
Action, Thriller            ","

7.9
","40,242",$na
103,X-Men: Days of Future Past,(2014),132 min,"
Action, Adventure, Sci-Fi            ","

7.9
","707,292",$233.92M
104,The Batman,(2022),176 min,"
Action, Crime, Drama            ","

7.9
","587,582",$na
105,Edge of Tomorrow,(2014),113 min,"
Action, Adventure, Sci-Fi            ","

7.9
","669,485",$100.21M
106,Nefes: Vatan Sagolsun,(2009),128 min,"
Action, Drama, Thriller            ","

7.9
","33,744",$na
107,District 9,(2009),112 min,"
Action, Sci-Fi, Thriller            ","

7.9
","677,415",$115.65M
108,Star Trek,(2009),127 min,"
Action, Adventure, Sci-Fi            ","

7.9
","601,934",$257.73M
109,Letters from Iwo Jima,(2006),141 min,"
Action, Adventure, Drama            ","

7.9
","162,676",$13.76M
110,Iron Man,(2008),126 min,"
Action, Adventure, Sci-Fi            ","

7.9
","1,045,593",$318.41M
111,Ying xiong,(2002),120 min,"
Action, Adventure, Drama            ","

7.9
","181,275",$53.71M
112,The Bourne Identity,(2002),119 min,"
Action, Mystery, Thriller            ","

7.9
","544,116",$121.66M
113,Children of Men,(2006),109 min,"
Action, Drama, Sci-Fi            ","

7.9
","497,400",$35.55M
114,Wo hu cang long,(2000),120 min,"
Action, Adventure, Drama            ","

7.9
","268,573",$128.08M
115,Knockin' on Heaven's Door,(1997),87 min,"
Action, Crime, Comedy            ","

7.9
","30,608",$0.00M
116,Kôkaku Kidôtai,(1995),83 min,"
Animation, Action, Crime            ","

7.9
","142,314",$0.52M
117,The Blues Brothers,(1980),133 min,"
Action, Adventure, Comedy            ","

7.9
","198,598",$57.23M
118,The Wild Bunch,(1969),145 min,"
Action, Adventure, Western            ","

7.9
","84,651",$12.06M
119,Per un pugno di dollari,(1964),99 min,"
Action, Drama, Western            ","

7.9
","216,498",$14.50M
120,The Adventures of Robin Hood,(1938),102 min,"
Action, Adventure, Romance            ","

7.9
","51,095",$3.98M
121,The Gentlemen,(2019),113 min,"
Action, Comedy, Crime            ","

7.8
","329,890",$36.47M
122,Dunkirk,(2017),106 min,"
Action, Drama, History            ","

7.8
","646,672",$188.37M
123,Rogue One,(2016),133 min,"
Action, Adventure, Sci-Fi            ","

7.8
","621,569",$532.18M
124,Captain America: Civil War,(2016),147 min,"
Action, Adventure, Sci-Fi            ","

7.8
","774,179",$408.08M
125,Star Wars: Episode VII - The Force Awakens,(2015),138 min,"
Action, Adventure, Sci-Fi            ","

7.8
","922,044",$936.66M
126,Big Hero 6,(2014),102 min,"
Animation, Action, Adventure            ","

7.8
","457,199",$222.53M
127,Captain America: The Winter Soldier,(2014),136 min,"
Action, Adventure, Sci-Fi            ","

7.8
","834,168",$259.77M
128,How to Train Your Dragon 2,(2014),102 min,"
Animation, Action, Adventure            ","

7.8
","333,218",$177.00M
129,Ang-ma-reul bo-at-da,(2010),144 min,"
Action, Crime, Drama            ","

7.8
","129,210",$0.13M
130,Captain Phillips,(2013),134 min,"
Action, Biography, Crime            ","

7.8
","456,949",$107.10M
131,Thirteen Lives,(2022),147 min,"
Action, Adventure, Biography            ","

7.8
","37,218",$na
132,Chugyeokja,(2008),125 min,"
Action, Crime, Drama            ","

7.8
","66,212",$na
133,Skyfall,(2012),143 min,"
Action, Adventure, Thriller            ","

7.8
","692,401",$304.36M
134,The Fighter,(I) (2010),116 min,"
Action, Biography, Drama            ","

7.8
","365,637",$93.62M
135,Taken,(I) (2008),90 min,"
Action, Crime, Thriller            ","

7.8
","599,844",$145.00M
136,Drive,(I) (2011),100 min,"
Action, Drama            ","

7.8
","631,272",$35.06M
137,Avatar,(2009),162 min,"
Action, Adventure, Fantasy            ","

7.8
","1,219,904",$760.51M
138,Apocalypto,(2006),139 min,"
Action, Adventure, Drama            ","

7.8
","311,750",$50.87M
139,Hot Fuzz,(2007),121 min,"
Action, Comedy, Mystery            ","

7.8
","502,330",$23.64M
140,Serenity,(2005),119 min,"
Action, Adventure, Sci-Fi            ","

7.8
","295,685",$25.51M
141,The Last Samurai,(2003),154 min,"
Action, Drama            ","

7.8
","437,888",$111.11M
142,Cowboy Bebop: Tengoku no tobira,(2001),115 min,"
Animation, Action, Crime            ","

7.8
","48,771",$1.00M
143,Gongdong gyeongbi guyeok JSA,(2000),110 min,"
Action, Drama, Thriller            ","

7.8
","30,333",$na
144,Jûbê ninpûchô,(1993),94 min,"
Animation, Action, Adventure            ","

7.8
","37,565",$na
145,The Fugitive,(1993),130 min,"
Action, Crime, Drama            ","

7.8
","293,496",$183.88M
146,Batman: Mask of the Phantasm,(1993),76 min,"
Animation, Action, Adventure            ","

7.8
","50,940",$5.62M
147,Dip huet seung hung,(1989),111 min,"
Action, Crime, Drama            ","

7.8
","48,531",$na
148,Predator,(1987),107 min,"
Action, Adventure, Horror            ","

7.8
","418,787",$59.74M
149,Ghostbusters,(1984),105 min,"
Action, Comedy, Fantasy            ","

7.8
","410,801",$238.63M
150,"Aguirre, der Zorn Gottes",(1972),95 min,"
Action, Adventure, Biography            ","

7.8
","57,205",$na
151,Doragon bôru chô: Burorî,(2018),100 min,"
Animation, Action, Adventure            ","

7.7
","27,495",$30.71M
152,Raazi,(2018),138 min,"
Action, Drama, Thriller            ","

7.7
","30,850",$na
153,Deadpool 2,(2018),119 min,"
Action, Adventure, Comedy            ","

7.7
","569,889",$324.59M
154,Mission: Impossible - Fallout,(2018),147 min,"
Action, Adventure, Thriller            ","

7.7
","329,290",$220.16M
155,Udta Punjab,(2016),148 min,"
Action, Crime, Drama            ","

7.7
","30,583",$na
156,Kubo and the Two Strings,(2016),101 min,"
Animation, Action, Adventure            ","

7.7
","128,745",$48.02M
157,Kingsman: The Secret Service,(2014),129 min,"
Action, Adventure, Comedy            ","

7.7
","661,355",$128.26M
158,Ajeossi,(2010),119 min,"
Action, Crime, Drama            ","

7.7
","69,577",$0.01M
159,The Lego Movie,(2014),100 min,"
Animation, Action, Adventure            ","

7.7
","352,733",$257.76M
160,Star Trek Into Darkness,(2013),132 min,"
Action, Adventure, Sci-Fi            ","

7.7
","482,494",$228.78M
161,X: First Class,(2011),131 min,"
Action, Adventure, Sci-Fi            ","

7.7
","688,479",$146.41M
162,3:10 to Yuma,(2007),122 min,"
Action, Crime, Drama            ","

7.7
","310,426",$53.61M
163,Kung fu,(2004),99 min,"
Action, Comedy, Fantasy            ","

7.7
","139,250",$17.11M
164,The Bourne Supremacy,(2004),108 min,"
Action, Mystery, Thriller            ","

7.7
","461,825",$176.24M
165,Man on Fire,(2004),146 min,"
Action, Crime, Drama            ","

7.7
","361,268",$77.91M
166,Black Hawk Down,(2001),144 min,"
Action, Drama, History            ","

7.7
","394,237",$108.64M
167,The Count of Monte Cristo,(2002),131 min,"
Action, Adventure, Drama            ","

7.7
","138,062",$54.23M
168,Minority Report,(2002),145 min,"
Action, Crime, Mystery            ","

7.7
","547,716",$132.07M
169,The Boondock Saints,(1999),108 min,"
Action, Thriller            ","

7.7
","239,142",$0.03M
170,Training Day,(2001),122 min,"
Action, Crime, Drama            ","

7.7
","432,349",$76.63M
171,Lola rennt,(1998),81 min,"
Action, Crime, Thriller            ","

7.7
","198,708",$7.27M
172,The Last of the Mohicans,(1992),112 min,"
Action, Adventure, Drama            ","

7.7
","169,144",$75.51M
173,Lat sau san taam,(1992),128 min,"
Action, Crime, Thriller            ","

7.7
","50,645",$na
174,Star Trek II: The Wrath of Khan,(1982),113 min,"
Action, Adventure, Sci-Fi            ","

7.7
","121,459",$78.91M
175,First Blood,(1982),93 min,"
Action, Adventure, Thriller            ","

7.7
","250,793",$47.21M
176,Badlands,(1973),94 min,"
Action, Crime, Drama            ","

7.7
","72,959",$na
177,The French Connection,(1971),104 min,"
Action, Crime, Drama            ","

7.7
","122,552",$15.63M
178,Dirty Harry,(1971),102 min,"
Action, Crime, Thriller            ","

7.7
","156,283",$35.90M
179,The Dirty Dozen,(1967),150 min,"
Action, Adventure, War            ","

7.7
","73,441",$45.30M
180,Bonnie and Clyde,(1967),111 min,"
Action, Biography, Crime            ","

7.7
","112,884",$na
181,Goldfinger,(1964),110 min,"
Action, Adventure, Thriller            ","

7.7
","189,857",$51.08M
182,The Longest Day,(1962),178 min,"
Action, Drama, History            ","

7.7
","56,008",$39.10M
183,The Magnificent Seven,(1960),128 min,"
Action, Adventure, Western            ","

7.7
","94,918",$4.91M
184,Key Largo,(1948),100 min,"
Action, Crime, Drama            ","

7.7
","41,021",$na
185,Scarface,(1932),93 min,"
Action, Crime, Drama            ","

7.7
","28,051",$na
186,Pushpa: The Rise - Part 1,(2021),179 min,"
Action, Adventure, Crime            ","

7.6
","70,271",$na
187,Ölümlü Dünya,(2018),107 min,"
Action, Comedy, Crime            ","

7.6
","26,798",$na
188,Ludo,(2020),149 min,"
Action, Comedy, Crime            ","

7.6
","39,213",$na
189,Busanhaeng,(2016),118 min,"
Action, Horror, Thriller            ","

7.6
","216,165",$2.13M
190,Hotel Mumbai,(2018),123 min,"
Action, Drama, History            ","

7.6
","63,725",$9.65M
191,Guardians of the Galaxy Vol. 2,(2017),136 min,"
Action, Adventure, Comedy            ","

7.6
","668,974",$389.81M
192,Baby Driver,(2017),113 min,"
Action, Crime, Drama            ","

7.6
","526,952",$107.83M
193,Only the Brave,(2017),134 min,"
Action, Biography, Drama            ","

7.6
","69,306",$18.34M
194,Incredibles 2,(2018),118 min,"
Animation, Action, Adventure            ","

7.6
","293,039",$608.58M
195,Sicario,(2015),121 min,"
Action, Crime, Drama            ","

7.6
","424,889",$46.89M
196,Creed,(II) (2015),133 min,"
Action, Drama, Sport            ","

7.6
","271,677",$109.77M
197,Dawn of the Planet of the Apes,(2014),130 min,"
Action, Adventure, Drama            ","

7.6
","439,431",$208.55M
198,El cuerpo,(2012),112 min,"
Action, Crime, Drama            ","

7.6
","65,780",$na
199,Serbuan maut,(2011),101 min,"
Action, Crime, Thriller            ","

7.6
","204,301",$4.11M
200,End of Watch,(2012),109 min,"
Action, Adventure, Crime            ","

7.6
","247,534",$41.00M
201,Rise of the Planet of the Apes,(2011),105 min,"
Action, Drama, Sci-Fi            ","

7.6
","526,026",$176.76M
202,Kick-Ass,(2010),117 min,"
Action, Comedy, Crime            ","

7.6
","559,289",$48.07M
203,Celda 211,(2009),113 min,"
Action, Crime, Drama            ","

7.6
","67,730",$na
204,Zombieland,(2009),88 min,"
Action, Comedy, Horror            ","

7.6
","571,580",$75.59M
205,Sherlock Holmes,(2009),128 min,"
Action, Adventure, Mystery            ","

7.6
","629,135",$209.03M
206,United 93,(2006),111 min,"
Action, Drama, History            ","

7.6
","106,432",$31.57M
207,Huo Yuan Jia,(2006),104 min,"
Action, Biography, Drama            ","

7.6
","76,082",$24.63M
208,Kung Fu Panda,(2008),92 min,"
Animation, Action, Adventure            ","

7.6
","464,924",$215.43M
209,Harry Potter and the Half-Blood Prince,(2009),153 min,"
Action, Adventure, Family            ","

7.6
","537,567",$301.96M
210,300,(2006),117 min,"
Action, Drama            ","

7.6
","813,978",$210.61M
211,Watchmen,(2009),162 min,"
Action, Drama, Mystery            ","

7.6
","548,232",$107.51M
212,Batoru rowaiaru,(2000),114 min,"
Action, Adventure, Drama            ","

7.6
","182,664",$na
213,Vampire Hunter D: Bloodlust,(2000),103 min,"
Animation, Action, Drama            ","

7.6
","32,147",$0.15M
214,Enemy at the Gates,(2001),131 min,"
Action, Drama, War            ","

7.6
","261,489",$51.40M
215,Star Wars: Episode III - Revenge of the Sith,(2005),140 min,"
Action, Adventure, Fantasy            ","

7.6
","782,651",$380.26M
216,The Fifth Element,(1997),126 min,"
Action, Adventure, Sci-Fi            ","

7.6
","470,569",$63.54M
217,Star Trek: First Contact,(1996),111 min,"
Action, Adventure, Drama            ","

7.6
","125,459",$92.00M
218,Die Hard: With a Vengeance,(1995),128 min,"
Action, Adventure, Thriller            ","

7.6
","385,859",$100.01M
219,Falling Down,(1993),113 min,"
Action, Crime, Drama            ","

7.6
","189,400",$40.90M
220,The Hunt for Red October,(1990),135 min,"
Action, Adventure, Thriller            ","

7.6
","198,943",$122.01M
221,RoboCop,(1987),102 min,"
Action, Crime, Sci-Fi            ","

7.6
","257,202",$53.42M
222,Lethal Weapon,(1987),109 min,"
Action, Crime, Thriller            ","

7.6
","257,622",$65.21M
223,Mad Max 2,(1981),96 min,"
Action, Adventure, Sci-Fi            ","

7.6
","180,299",$12.47M
224,Rupan sansei: Kariosutoro no shiro,(1979),100 min,"
Animation, Action, Adventure            ","

7.6
","30,862",$na
225,Escape from Alcatraz,(1979),112 min,"
Action, Biography, Crime            ","

7.6
","133,490",$43.00M
226,The Taking of Pelham One Two Three,(1974),104 min,"
Action, Crime, Thriller            ","

7.6
","30,925",$2.49M
227,Enter the Dragon,(1973),102 min,"
Action, Crime, Drama            ","

7.6
","104,532",$25.00M
228,Where Eagles Dare,(1968),158 min,"
Action, Adventure, War            ","

7.6
","58,175",$na
229,DC League of Super-Pets,(2022),105 min,"
Animation, Action, Adventure            ","

7.5
","44,262",$na
230,Tanhaji: The Unsung Warrior,(2020),135 min,"
Action, Biography, Drama            ","

7.5
","31,016",$na
231,Upgrade,(2018),100 min,"
Action, Sci-Fi, Thriller            ","

7.5
","184,503",$11.98M
232,Mersal,(2017),172 min,"
Action, Thriller            ","

7.5
","34,422",$na
233,Fury,(2014),134 min,"
Action, Drama, War            ","

7.5
","483,105",$85.82M
234,The Hunger Games: Catching Fire,(2013),146 min,"
Action, Adventure, Sci-Fi            ","

7.5
","659,385",$424.67M
235,Delhi Belly,(2011),103 min,"
Action, Comedy, Crime            ","

7.5
","30,192",$1.53M
236,Waar,(2013),130 min,"
Action, Crime, Drama            ","

7.5
","29,758",$na
237,Hodejegerne,(2011),100 min,"
Action, Crime, Thriller            ","

7.5
","102,238",$1.20M
238,Jûsan-nin no shikaku,(2010),141 min,"
Action, Adventure, Drama            ","

7.5
","65,663",$0.80M
239,Yip Man 2,(2010),108 min,"
Action, Biography, Drama            ","

7.5
","105,118",$0.21M
240,Bullet Train,(2022),127 min,"
Action, Comedy, Thriller            ","

7.5
","72,680",$na
241,L'instinct de mort,(2008),113 min,"
Action, Biography, Crime            ","

7.5
","33,824",$0.55M
242,Doctor Strange,(2016),115 min,"
Action, Adventure, Fantasy            ","

7.5
","730,510",$232.64M
243,Retfærdighedens ryttere,(2020),116 min,"
Action, Comedy, Drama            ","

7.5
","49,113",$na
244,Lone Survivor,(2013),121 min,"
Action, Biography, Drama            ","

7.5
","286,736",$125.10M
245,Source Code,(2011),93 min,"
Action, Drama, Mystery            ","

7.5
","517,545",$54.71M
246,Grindhouse,(2007),191 min,"
Action, Horror, Thriller            ","

7.5
","184,619",$25.04M
247,Dalkomhan insaeng,(2005),119 min,"
Action, Crime, Drama            ","

7.5
","40,363",$na
