,NAME,YEAR,TIME,GENRE,RATING,VOTES,GROSS_COLLECTION
248,Jodhaa Akbar,(2008),213 min,"
Action, Drama, History            ","

7.5
","32,679",$3.44M
249,Scott Pilgrim vs. the World,(2010),112 min,"
Action, Comedy, Fantasy            ","

7.5
","422,556",$31.49M
250,Munich,(2005),164 min,"
Action, Drama, History            ","

7.5
","226,603",$47.40M
251,Shi mian mai fu,(2004),119 min,"
Action, Adventure, Drama            ","

7.5
","112,215",$11.05M
252,Harry Potter and the Order of the Phoenix,(2007),138 min,"
Action, Adventure, Family            ","

7.5
","573,804",$292.00M
253,Collateral,(2004),120 min,"
Action, Crime, Drama            ","

7.5
","399,473",$101.01M
254,Zatôichi,(2003),116 min,"
Action, Comedy, Crime            ","

7.5
","49,689",$0.85M
255,Jui kuen II,(1994),102 min,"
Action, Comedy            ","

7.5
","46,115",$11.55M
256,The Crow,(1994),102 min,"
Action, Crime, Drama            ","

7.5
","183,116",$50.69M
257,Total Recall,(1990),113 min,"
Action, Adventure, Sci-Fi            ","

7.5
","328,990",$119.39M
258,Batman,(1989),126 min,"
Action, Adventure            ","

7.5
","375,314",$251.19M
259,Midnight Run,(1988),126 min,"
Action, Comedy, Crime            ","

7.5
","86,421",$38.41M
260,Ging chaat goo si,(1985),100 min,"
Action, Comedy, Crime            ","

7.5
","36,531",$0.11M
261,Indiana Jones and the Temple of Doom,(1984),118 min,"
Action, Adventure            ","

7.5
","484,265",$179.87M
262,The Warriors,(1979),93 min,"
Action, Crime, Thriller            ","

7.5
","102,637",$22.49M
263,Tora! Tora! Tora!,(1970),144 min,"
Action, Drama, History            ","

7.5
","34,526",$29.55M
264,It's a Mad Mad Mad Mad World,(1963),210 min,"
Action, Adventure, Comedy            ","

7.5
","42,022",$46.30M
265,The Guns of Navarone,(1961),158 min,"
Action, Adventure, Drama            ","

7.5
","51,315",$28.90M
266,Shang-Chi and the Legend of the Ten Rings,(2021),132 min,"
Action, Adventure, Fantasy            ","

7.4
","370,114",$224.54M
267,Nobody,(I) (2021),92 min,"
Action, Crime, Drama            ","

7.4
","240,841",$27.27M
268,Spider-Man: Far from Home,(2019),129 min,"
Action, Adventure, Sci-Fi            ","

7.4
","480,303",$390.53M
269,John Wick: Chapter 3 - Parabellum,(2019),130 min,"
Action, Crime, Thriller            ","

7.4
","336,215",$171.02M
270,John Wick: Chapter 2,(2017),122 min,"
Action, Crime, Thriller            ","

7.4
","424,745",$92.03M
271,The Last Duel,(2021),152 min,"
Action, Drama, History            ","

7.4
","150,372",$na
272,War for the Planet of the Apes,(2017),140 min,"
Action, Adventure, Drama            ","

7.4
","255,037",$146.88M
273,John Wick,(2014),101 min,"
Action, Crime, Thriller            ","

7.4
","620,487",$43.04M
274,Predestination,(I) (2014),97 min,"
Action, Drama, Sci-Fi            ","

7.4
","281,272",$0.07M
275,How to Train Your Dragon: The Hidden World,(2019),104 min,"
Animation, Action, Adventure            ","

7.4
","127,341",$160.80M
276,Mission: Impossible - Rogue Nation,(2015),131 min,"
Action, Adventure, Thriller            ","

7.4
","371,097",$195.04M
277,Spider-Man: Homecoming,(2017),133 min,"
Action, Adventure, Sci-Fi            ","

7.4
","645,370",$334.20M
278,Rurôni Kenshin: Meiji kenkaku roman tan,(2012),134 min,"
Action, Adventure, Drama            ","

7.4
","26,416",$na
279,Ready Player One,(2018),140 min,"
Action, Adventure, Sci-Fi            ","

7.4
","429,636",$137.69M
280,Sherlock Holmes: A Game of Shadows,(2011),129 min,"
Action, Adventure, Mystery            ","

7.4
","452,230",$186.85M
281,Samâ uôzu,(2009),114 min,"
Animation, Action, Adventure            ","

7.4
","29,630",$0.08M
282,Looper,(2012),119 min,"
Action, Drama, Sci-Fi            ","

7.4
","572,597",$66.49M
283,Mission: Impossible - Ghost Protocol,(2011),132 min,"
Action, Thriller            ","

7.4
","488,171",$209.40M
284,Law Abiding Citizen,(2009),109 min,"
Action, Crime, Drama            ","

7.4
","295,829",$73.34M
285,Wonder Woman,(2017),141 min,"
Action, Adventure, Fantasy            ","

7.4
","649,610",$412.56M
286,L'ennemi public n°1,(2008),133 min,"
Action, Biography, Crime            ","

7.4
","29,937",$0.28M
287,A History of Violence,(2005),96 min,"
Action, Crime, Drama            ","

7.4
","238,680",$31.49M
288,Spider-Man 2,(2004),127 min,"
Action, Adventure, Sci-Fi            ","

7.4
","645,556",$373.59M
289,Open Range,(2003),139 min,"
Action, Drama, Romance            ","

7.4
","73,287",$58.33M
290,Master and Commander: The Far Side of the World,(2003),138 min,"
Action, Adventure, Drama            ","

7.4
","220,842",$93.93M
291,X2,(2003),134 min,"
Action, Sci-Fi, Thriller            ","

7.4
","547,310",$214.95M
292,Spider-Man,(2002),121 min,"
Action, Adventure, Sci-Fi            ","

7.4
","808,462",$403.71M
293,The Rock,(1996),136 min,"
Action, Adventure, Thriller            ","

7.4
","337,014",$134.07M
294,Thief,(1981),123 min,"
Action, Crime, Drama            ","

7.4
","32,282",$11.49M
295,Zui quan,(1978),111 min,"
Action, Comedy            ","

7.4
","40,301",$na
296,Superman,(1978),143 min,"
Action, Adventure, Sci-Fi            ","

7.4
","174,456",$134.22M
297,Get Carter,(1971),112 min,"
Action, Crime, Thriller            ","

7.4
","33,856",$0.39M
298,Bullitt,(1968),114 min,"
Action, Crime, Thriller            ","

7.4
","68,988",$42.30M
299,From Russia with Love,(1963),115 min,"
Action, Adventure, Thriller            ","

7.4
","134,497",$24.80M
300,El Camino: A Breaking Bad Movie,(2019),122 min,"
Action, Crime, Drama            ","

7.3
","241,224",$na
301,Tenet,(2020),150 min,"
Action, Sci-Fi, Thriller            ","

7.3
","487,451",$58.46M
302,Raya and the Last Dragon,(2021),107 min,"
Animation, Action, Adventure            ","

7.3
","148,287",$na
303,Patriots Day,(2016),133 min,"
Action, Crime, Drama            ","

7.3
","102,687",$31.89M
304,13 Hours,(2016),144 min,"
Action, Drama, History            ","

7.3
","141,674",$52.85M
305,The Lego Batman Movie,(2017),104 min,"
Animation, Action, Adventure            ","

7.3
","150,517",$175.75M
306,Okja,(2017),120 min,"
Action, Adventure, Drama            ","

7.3
","120,877",$na
307,The Nice Guys,(2016),116 min,"
Action, Comedy, Crime            ","

7.3
","323,701",$36.26M
308,Avengers: Age of Ultron,(2015),141 min,"
Action, Adventure, Sci-Fi            ","

7.3
","851,223",$459.01M
309,No Time to Die,(2021),163 min,"
Action, Adventure, Thriller            ","

7.3
","387,216",$160.87M
310,American Sniper,(2014),133 min,"
Action, Biography, Drama            ","

7.3
","483,251",$350.13M
311,The Accountant,(2016),128 min,"
Action, Thriller            ","

7.3
","294,665",$86.26M
312,Eye in the Sky,(2015),102 min,"
Action, Drama, Thriller            ","

7.3
","86,373",$18.70M
313,Black Panther,(2018),134 min,"
Action, Adventure, Sci-Fi            ","

7.3
","745,283",$700.06M
314,Southpaw,(2015),124 min,"
Action, Crime, Drama            ","

7.3
","236,096",$52.42M
315,Fast Five,(2011),130 min,"
Action, Crime, Thriller            ","

7.3
","379,624",$209.84M
316,The Next Three Days,(2010),133 min,"
Action, Crime, Drama            ","

7.3
","196,935",$21.15M
317,Black Dynamite,(2009),84 min,"
Action, Comedy            ","

7.3
","49,190",$0.23M
318,Ghajini,(2008),186 min,"
Action, Drama, Mystery            ","

7.3
","61,501",$2.43M
319,Master,(2021),178 min,"
Action, Thriller            ","

7.3
","74,497",$na
320,Max Manus,(2008),118 min,"
Action, Biography, Drama            ","

7.3
","28,318",$na
321,Megamind,(2010),95 min,"
Animation, Action, Comedy            ","

7.3
","259,089",$148.42M
322,The Adventures of Tintin,(2011),107 min,"
Animation, Action, Adventure            ","

7.3
","230,705",$77.59M
323,Der Baader Meinhof Komplex,(2008),150 min,"
Action, Biography, Crime            ","

7.3
","38,158",$0.48M
324,Ant-Man,(2015),117 min,"
Action, Adventure, Comedy            ","

7.3
","656,749",$180.20M
325,Alita: Battle Angel,(2019),122 min,"
Action, Adventure, Sci-Fi            ","

7.3
","264,505",$85.71M
326,Chi bi,(2008),288 min,"
Action, Adventure, Drama            ","

7.3
","46,432",$0.63M
327,Running Scared,(2006),122 min,"
Action, Crime, Drama            ","

7.3
","100,276",$6.86M
328,Pirates of the Caribbean: Dead Man's Chest,(2006),151 min,"
Action, Adventure, Fantasy            ","

7.3
","712,637",$423.32M
329,Layer Cake,(2004),105 min,"
Action, Crime, Drama            ","

7.3
","180,497",$2.34M
330,Dawn of the Dead,(2004),101 min,"
Action, Horror            ","

7.3
","254,421",$59.02M
331,Siu Lam juk kau,(2001),113 min,"
Action, Comedy, Fantasy            ","

7.3
","80,616",$0.49M
332,Equilibrium,(2002),107 min,"
Action, Drama, Sci-Fi            ","

7.3
","328,866",$1.20M
333,X-Men,(2000),104 min,"
Action, Adventure, Sci-Fi            ","

7.3
","611,756",$157.30M
334,The Negotiator,(1998),140 min,"
Action, Crime, Drama            ","

7.3
","142,785",$44.48M
335,Enemy of the State,(1998),132 min,"
Action, Thriller            ","

7.3
","243,851",$111.55M
336,Starship Troopers,(1997),129 min,"
Action, Adventure, Sci-Fi            ","

7.3
","294,225",$54.81M
337,Men in Black,(1997),98 min,"
Action, Adventure, Comedy            ","

7.3
","563,531",$250.69M
338,Grosse Pointe Blank,(1997),107 min,"
Action, Comedy, Crime            ","

7.3
","94,856",$28.01M
339,Face/Off,(1997),138 min,"
Action, Crime, Sci-Fi            ","

7.3
","375,739",$112.23M
340,Crimson Tide,(1995),116 min,"
Action, Drama, Thriller            ","

7.3
","112,960",$91.40M
341,True Lies,(1994),141 min,"
Action, Comedy, Thriller            ","

7.3
","257,175",$146.28M
342,Speed,(1994),116 min,"
Action, Adventure, Thriller            ","

7.3
","361,799",$121.25M
343,Nikita,(1990),117 min,"
Action, Thriller            ","

7.3
","72,295",$5.02M
344,Star Trek IV: The Voyage Home,(1986),119 min,"
Action, Adventure, Comedy            ","

7.3
","85,631",$109.71M
345,To Live and Die in L.A.,(1985),116 min,"
Action, Crime, Drama            ","

7.3
","33,893",$17.31M
346,The Karate Kid,(1984),126 min,"
Action, Drama, Family            ","

7.3
","223,146",$90.82M
347,Beverly Hills Cop,(1984),105 min,"
Action, Comedy, Crime            ","

7.3
","183,127",$234.76M
348,Assault on Precinct 13,(1976),91 min,"
Action, Crime, Thriller            ","

7.3
","50,544",$na
349,The Getaway,(1972),123 min,"
Action, Crime, Thriller            ","

7.3
","32,464",$36.73M
350,Jason and the Argonauts,(1963),104 min,"
Action, Adventure, Family            ","

7.3
","28,152",$4.58M
351,The Suicide Squad,(2021),132 min,"
Action, Adventure, Comedy            ","

7.2
","340,933",$na
352,Anthropoid,(2016),120 min,"
Action, Biography, Drama            ","

7.2
","48,815",$2.96M
353,The Siege of Jadotville,(2016),108 min,"
Action, Drama, History            ","

7.2
","39,852",$na
354,Bajirao Mastani,(2015),158 min,"
Action, Drama, History            ","

7.2
","35,236",$6.56M
355,La isla mínima,(2014),105 min,"
Action, Crime, Mystery            ","

7.2
","33,908",$na
356,'71,(2014),99 min,"
Action, Crime, Drama            ","

7.2
","56,363",$1.27M
357,Holiday,(2014),160 min,"
Action, Crime, Thriller            ","

7.2
","28,481",$0.71M
358,Unbroken,(I) (2014),137 min,"
Action, Biography, Drama            ","

7.2
","167,411",$115.64M
359,The Man from U.N.C.L.E.,(2015),116 min,"
Action, Adventure, Comedy            ","

7.2
","305,526",$45.45M
360,Kon-Tiki,(2012),118 min,"
Action, Adventure, Biography            ","

7.2
","49,274",$1.52M
361,War Horse,(2011),146 min,"
Action, Adventure, Drama            ","

7.2
","157,319",$79.88M
362,Rise of the Guardians,(2012),97 min,"
Animation, Action, Adventure            ","

7.2
","174,391",$103.41M
363,The Hunger Games,(2012),142 min,"
Action, Adventure, Sci-Fi            ","

7.2
","909,662",$408.01M
364,Kung Fu Panda 2,(2011),90 min,"
Animation, Action, Adventure            ","

7.2
","282,848",$165.25M
365,Harry Brown,(2009),103 min,"
Action, Crime, Drama            ","

7.2
","87,767",$1.82M
366,21 Jump Street,(2012),109 min,"
Action, Comedy, Crime            ","

7.2
","553,926",$138.45M
367,Rango,(2011),107 min,"
Animation, Action, Adventure            ","

7.2
","263,509",$123.48M
368,Prey,(I) (2022),99 min,"
Action, Adventure, Drama            ","

7.2
","146,649",$na
369,The Witcher: Nightmare of the Wolf,(2021),83 min,"
Animation, Action, Adventure            ","

7.2
","43,247",$na
370,RocknRolla,(2008),114 min,"
Action, Crime, Thriller            ","

7.2
","251,358",$5.69M
371,Joheunnom nabbeunnom isanghannom,(2008),139 min,"
Action, Adventure, Comedy            ","

7.2
","35,916",$0.13M
372,Shooter,(I) (2007),124 min,"
Action, Drama, Thriller            ","

7.2
","332,800",$47.00M
373,I Am Legend,(2007),101 min,"
Action, Drama, Sci-Fi            ","

7.2
","749,846",$256.39M
374,The Equalizer,(2014),132 min,"
Action, Crime, Thriller            ","

7.2
","368,401",$101.53M
375,Mongol,(2007),126 min,"
Action, Biography, Drama            ","

7.2
","46,925",$5.70M
376,Friday Night Lights,(2004),118 min,"
Action, Drama, Sport            ","

7.2
","63,473",$61.26M
377,Fainaru fantajî sebun adobento chirudoren,(2005),101 min,"
Animation, Action, Adventure            ","

7.2
","56,629",$na
378,Team America: World Police,(2004),98 min,"
Action, Comedy            ","

7.2
","169,270",$32.79M
379,The Life Aquatic with Steve Zissou,(2004),119 min,"
Action, Adventure, Comedy            ","

7.2
","196,841",$24.01M
380,King Kong,(2005),187 min,"
Action, Adventure, Drama            ","

7.2
","421,262",$218.08M
381,Kingdom of Heaven,(2005),144 min,"
Action, Adventure, Drama            ","

7.2
","287,357",$47.40M
382,The Matrix Reloaded,(2003),138 min,"
Action, Sci-Fi            ","

7.2
","590,723",$281.49M
383,The Patriot,(2000),165 min,"
Action, Drama, History            ","

7.2
","274,134",$113.33M
384,Arlington Road,(1999),117 min,"
Action, Crime, Drama            ","

7.2
","86,865",$24.36M
385,Ronin,(1998),122 min,"
Action, Crime, Thriller            ","

7.2
","183,776",$41.62M
386,From Dusk Till Dawn,(1996),108 min,"
Action, Crime, Horror            ","

7.2
","312,491",$25.75M
387,GoldenEye,(1995),130 min,"
Action, Adventure, Thriller            ","

7.2
","256,632",$106.60M
388,Natural Born Killers,(1994),119 min,"
Action, Crime, Drama            ","

7.2
","234,341",$50.28M
389,In the Line of Fire,(1993),128 min,"
Action, Crime, Drama            ","

7.2
","104,012",$102.31M
390,Star Trek VI: The Undiscovered Country,(1991),110 min,"
Action, Adventure, Sci-Fi            ","

7.2
","75,937",$74.89M
391,Point Break,(1991),122 min,"
Action, Crime, Thriller            ","

7.2
","181,790",$43.22M
392,Lethal Weapon 2,(1989),114 min,"
Action, Crime, Thriller            ","

7.2
","175,848",$147.25M
393,Willow,(1988),126 min,"
Action, Adventure, Drama            ","

7.2
","114,084",$57.27M
394,They Live,(1988),94 min,"
Action, Horror, Sci-Fi            ","

7.2
","129,169",$13.01M
395,The Transformers: The Movie,(1986),84 min,"
Animation, Action, Adventure            ","

7.2
","39,840",$5.85M
396,The Hitcher,(1986),97 min,"
Action, Thriller            ","

7.2
","48,019",$5.84M
397,Big Trouble in Little China,(1986),99 min,"
Action, Adventure, Comedy            ","

7.2
","140,106",$11.10M
398,Silverado,(1985),133 min,"
Action, Crime, Drama            ","

7.2
","44,654",$33.20M
399,Runaway Train,(1985),111 min,"
Action, Adventure, Drama            ","

7.2
","29,649",$7.94M
400,Magnum Force,(1973),124 min,"
Action, Crime, Mystery            ","

7.2
","61,921",$4.56M
401,Meng long guo jiang,(1972),99 min,"
Action, Adventure, Comedy            ","

7.2
","37,299",$4.06M
402,Jing wu men,(1972),106 min,"
Action, Drama, Romance            ","

7.2
","30,673",$1.29M
403,Vanishing Point,(1971),99 min,"
Action, Crime, Thriller            ","

7.2
","28,718",$na
404,The Italian Job,(1969),99 min,"
Action, Comedy, Crime            ","

7.2
","46,399",$na
405,Django,(1966),91 min,"
Action, Western            ","

7.2
","28,073",$0.03M
406,Dr. No,(1962),110 min,"
Action, Adventure, Thriller            ","

7.2
","166,682",$16.07M
407,Mosul,(I) (2019),86 min,"
Action, Drama, War            ","

7.1
","26,732",$na
408,Free Guy,(2021),115 min,"
Action, Adventure, Comedy            ","

7.1
","358,403",$121.63M
409,Brawl in Cell Block 99,(2017),132 min,"
Action, Crime, Drama            ","

7.1
","66,540",$na
410,Kaabil,(2017),139 min,"
Action, Crime, Drama            ","

7.1
","27,005",$na
411,Sicario: Day of the Soldado,(2018),122 min,"
Action, Adventure, Crime            ","

7.1
","146,678",$50.07M
412,Allied,(2016),124 min,"
Action, Drama, Romance            ","

7.1
","156,294",$40.10M
413,American Made,(2017),114 min,"
Action, Comedy, Crime            ","

7.1
","182,389",$51.34M
414,Fast & Furious 7,(2015),137 min,"
Action, Crime, Thriller            ","

7.1
","388,165",$353.01M
415,Everest,(2015),121 min,"
Action, Adventure, Biography            ","

7.1
","217,161",$43.48M
416,Kraftidioten,(2014),116 min,"
Action, Comedy, Crime            ","

7.1
","27,247",$0.05M
417,Gabbar Is Back,(2015),128 min,"
Action, Crime, Drama            ","

7.1
","25,174",$na
418,Kung Fu Panda 3,(2016),95 min,"
Animation, Action, Adventure            ","

7.1
","157,635",$143.53M
419,Dragon Ball Z: Doragon bôru Z - Kami to Kami,(2013),85 min,"
Animation, Action, Adventure            ","

7.1
","28,181",$2.55M
420,God Bless America,(2011),105 min,"
Action, Comedy, Crime            ","

7.1
","70,252",$0.12M
421,Batman v Superman: Dawn of Justice (Ultimate Edition),(2016),182 min,"
Action, Adventure, Sci-Fi            ","

7.1
","55,746",$na
422,Deepwater Horizon,(2016),107 min,"
Action, Drama, History            ","

7.1
","168,386",$61.43M
423,Snowpiercer,(2013),126 min,"
Action, Sci-Fi, Thriller            ","

7.1
","358,392",$4.56M
424,Dredd,(2012),95 min,"
Action, Crime, Sci-Fi            ","

7.1
","274,092",$13.41M
425,Enthiran,(2010),155 min,"
Action, Sci-Fi, Thriller            ","

7.1
","27,644",$4.37M
426,Iron Man Three,(2013),130 min,"
Action, Adventure, Sci-Fi            ","

7.1
","840,272",$409.01M
427,Flickan som lekte med elden,(2009),129 min,"
Action, Crime, Drama            ","

7.1
","95,381",$9.08M
428,Micmacs à tire-larigot,(2009),105 min,"
Action, Comedy, Crime            ","

7.1
","30,364",$1.26M
429,JCVD,(2008),97 min,"
Action, Comedy, Crime            ","

7.1
","39,071",$0.47M
430,The Northman,(2022),137 min,"
Action, Adventure, Drama            ","

7.1
","167,711",$na
431,Wrath of Man,(2021),119 min,"
Action, Crime, Thriller            ","

7.1
","172,059",$na
432,Planet Terror,(2007),105 min,"
Action, Comedy, Horror            ","

7.1
","210,764",$na
433,Defiance,(I) (2008),137 min,"
Action, Drama, History            ","

7.1
","147,961",$28.64M
434,Man of Steel,(2013),143 min,"
Action, Adventure, Sci-Fi            ","

7.1
","763,184",$291.05M
435,Rocky Balboa,(2006),102 min,"
Action, Drama, Sport            ","

7.1
","216,140",$70.27M
436,Gwoemul,(2006),120 min,"
Action, Drama, Horror            ","

7.1
","121,176",$2.20M
437,Don,(I) (2006),178 min,"
Action, Crime, Thriller            ","

7.1
","37,416",$0.80M
438,Deja Vu,(2006),126 min,"
Action, Crime, Sci-Fi            ","

7.1
","310,606",$64.04M
439,Pirates of the Caribbean: At World's End,(2007),169 min,"
Action, Adventure, Fantasy            ","

7.1
","646,398",$309.42M
440,Fanaa,(2006),168 min,"
Action, Drama, Romance            ","

7.1
","33,150",$2.10M
441,Flags of Our Fathers,(2006),135 min,"
Action, Adventure, Drama            ","

7.1
","123,683",$33.60M
442,Banlieue 13,(2004),84 min,"
Action, Crime, Sci-Fi            ","

7.1
","70,471",$1.20M
443,Ong-bak,(2003),108 min,"
Action, Crime, Thriller            ","

7.1
","74,839",$4.56M
444,"I, Robot",(2004),115 min,"
Action, Mystery, Sci-Fi            ","

7.1
","536,471",$144.80M
445,Live Free or Die Hard,(2007),128 min,"
Action, Thriller            ","

7.1
","405,271",$134.53M
446,We Were Soldiers,(2002),138 min,"
Action, Drama, History            ","

7.1
","141,911",$78.12M
447,Pitch Black,(2000),109 min,"
Action, Horror, Sci-Fi            ","

7.1
","239,503",$39.24M
448,Payback,(I) (1999),100 min,"
Action, Crime, Drama            ","

7.1
","138,844",$81.53M
449,The Mummy,(1999),124 min,"
Action, Adventure, Fantasy            ","

7.1
","426,008",$155.25M
450,Blade,(1998),120 min,"
Action, Horror, Sci-Fi            ","

7.1
","272,136",$70.09M
451,Three Kings,(1999),114 min,"
Action, Adventure, Comedy            ","

7.1
","171,563",$60.65M
452,Mission: Impossible,(1996),110 min,"
Action, Adventure, Thriller            ","

7.1
","424,295",$180.98M
453,Desperado,(1995),104 min,"
Action, Crime, Thriller            ","

7.1
","185,868",$25.63M
454,Batman Returns,(1992),126 min,"
Action, Crime, Fantasy            ","

7.1
","303,639",$162.83M
455,Die Hard 2,(1990),124 min,"
Action, Thriller            ","

7.1
","360,224",$117.54M
456,Casualties of War,(1989),113 min,"
Action, Crime, Drama            ","

7.1
","44,573",$18.67M
457,No Way Out,(1987),114 min,"
Action, Crime, Drama            ","

7.1
","40,639",$35.51M
458,Highlander,(1986),116 min,"
Action, Adventure, Fantasy            ","

7.1
","135,263",$5.90M
459,WarGames,(1983),114 min,"
Action, Drama, Sci-Fi            ","

7.1
","100,256",$79.57M
460,Escape from New York,(1981),99 min,"
Action, Adventure, Sci-Fi            ","

7.1
","141,932",$25.24M
461,The Poseidon Adventure,(1972),117 min,"
Action, Adventure, Drama            ","

7.1
","45,541",$84.56M
462,Doctor Strange in the Multiverse of Madness,(2022),126 min,"
Action, Adventure, Fantasy            ","

7.0
","372,235",$na
463,Kabir Singh,(2019),173 min,"
Action, Drama, Romance            ","

7.0
","32,984",$na
464,Greyhound,(2020),91 min,"
Action, Drama, History            ","

7.0
","95,830",$na
465,Logan Lucky,(2017),118 min,"
Action, Comedy, Crime            ","

7.0
","149,315",$27.78M
466,Ant-Man and the Wasp,(2018),118 min,"
Action, Adventure, Comedy            ","

7.0
","393,447",$216.65M
467,Sultan,(2016),170 min,"
Action, Drama, Sport            ","

7.0
","46,364",$6.20M
468,Spy,(2015),120 min,"
Action, Comedy            ","

7.0
","244,714",$110.83M
469,A Most Violent Year,(2014),125 min,"
Action, Crime, Drama            ","

7.0
","72,640",$5.74M
470,Yip Man 3,(2015),105 min,"
Action, Biography, Drama            ","

7.0
","55,506",$2.68M
471,Star Trek Beyond,(2016),122 min,"
Action, Adventure, Sci-Fi            ","

7.0
","245,661",$158.85M
472,22 Jump Street,(2014),112 min,"
Action, Comedy, Crime            ","

7.0
","375,046",$191.72M
473,Yip Man 4,(2019),107 min,"
Action, Biography, Drama            ","

7.0
","32,196",$3.96M
474,Furious 6,(2013),130 min,"
Action, Adventure, Crime            ","

7.0
","393,230",$238.68M
475,Chronicle,(2012),89 min,"
Action, Drama, Sci-Fi            ","

7.0
","251,536",$64.58M
476,Super 8,(2011),112 min,"
Action, Mystery, Sci-Fi            ","

7.0
","353,799",$127.00M
477,Yip Man chin chyun,(2010),100 min,"
Action, Biography, Drama            ","

7.0
","32,269",$na
478,The Foreigner,(I) (2017),113 min,"
Action, Thriller            ","

7.0
","114,330",$34.39M
479,Oblivion,(I) (2013),124 min,"
Action, Adventure, Sci-Fi            ","

7.0
","521,310",$89.02M
480,Filth,(I) (2013),97 min,"
Action, Comedy, Crime            ","

7.0
","109,101",$0.03M
481,Don 2,(2011),148 min,"
Action, Crime, Thriller            ","

7.0
","53,123",$3.68M
482,Den of Thieves,(2018),140 min,"
Action, Crime, Drama            ","

7.0
","111,318",$44.95M
483,RED,(2010),111 min,"
Action, Comedy, Crime            ","

7.0
","308,154",$90.38M
484,Bronson,(2008),92 min,"
Action, Biography, Crime            ","

7.0
","131,263",$0.10M
485,Public Enemies,(2009),140 min,"
Action, Biography, Crime            ","

7.0
","302,257",$97.10M
486,The Unbearable Weight of Massive Talent,(2022),107 min,"
Action, Comedy, Crime            ","

7.0
","69,544",$na
487,Cloverfield,(2008),85 min,"
Action, Horror, Sci-Fi            ","

7.0
","397,282",$80.05M
488,Death Proof,(2007),127 min,"
Action, Thriller            ","

7.0
","290,044",$na
489,Tropic Thunder,(2008),107 min,"
Action, Comedy, War            ","

7.0
","412,895",$110.52M
490,Tau ming chong,(2007),126 min,"
Action, Adventure, Drama            ","

7.0
","26,974",$0.13M
491,Son of Rambow,(2007),96 min,"
Action, Adventure, Comedy            ","

7.0
","31,972",$1.78M
492,World War Z,(2013),116 min,"
Action, Adventure, Horror            ","

7.0
","659,025",$202.36M
493,Thor,(2011),115 min,"
Action, Adventure, Fantasy            ","

7.0
","839,298",$181.03M
494,Jack Reacher,(2012),130 min,"
Action, Mystery, Thriller            ","

7.0
","340,007",$80.07M
495,Body of Lies,(2008),128 min,"
Action, Drama, Thriller            ","

7.0
","228,696",$39.39M
496,Man cheng jin dai huang jin jia,(2006),114 min,"
Action, Drama, History            ","

7.0
","44,308",$6.57M
497,9,(I) (2009),79 min,"
Animation, Action, Adventure            ","

7.0
","140,154",$31.74M
